CMP(舒服/a, 顺眼/a)
CMP(棒/a, 好/a)
CMP(烂/a, 不好/a)
CMP(好/a, 慢/a)
CMP(慢/a, 不行/a)
CMP(慢/a, 出奇/a)
CMP(准/a, 不好/a)
CMP(流畅/a, 不行/a)
CMP(差/a, 一般/a)
CMP(细/a, 碎/a)
CMP(美/a, 不行/a)
CMP(好/a, 不好/a)
CMP(稳定/a, 好/a)
CMP(方便/a, 好/a)
CMP(好看/a, 爽/a)
CMP(好/a, 好/a)
CMP(便宜/a, 划算/a)
CMP(强大/a, 好/a)
CMP(平衡/a, 好/a)
CMP(流畅/a, 好/a)
CMP(平衡/a, 准/a)
CMP(简单/a, 好/a)
